question_id,question,gold_sql
q11,For every team: how many series and what share did they win?,"WITH s AS (SELECT team1 AS team, (winner = team1)::INT AS win FROM matches UNION ALL SELECT team2 AS team, (winner = team2)::INT AS win FROM matches) SELECT team, COUNT(*) AS n_series, AVG(win) AS win_share FROM s GROUP BY team ORDER BY team"
q12,How often does a team win right after winning three or more of its previous five series?,"WITH seq AS (SELECT match_id, team1 AS team, (winner = team1)::INT AS won, datetime FROM matches UNION ALL SELECT match_id, team2 AS team, (winner = team2)::INT AS won, datetime FROM matches), n AS (SELECT match_id, team, won, SUM(won) OVER (PARTITION BY team ORDER BY datetime, match_id ROWS BETWEEN 5 PRECEDING AND 1 PRECEDING) AS w5, COUNT(*) OVER (PARTITION BY team ORDER BY datetime, match_id ROWS BETWEEN 5 PRECEDING AND 1 PRECEDING) AS n5 FROM seq) SELECT AVG(won) AS conversion_after_good_form FROM n WHERE n5 = 5 AND w5 >= 3"
q13,How many series were actually best-of-ones — one map played — rather than what the format column claims?,"SELECT CASE WHEN games_played = 1 THEN 'bo1' ELSE 'multi' END AS fmt, COUNT(*) AS n FROM matches GROUP BY fmt"
q14,"Among series that were advertised as best-of-three but finished in a single map, which tournament hosted the most?","SELECT tournament, COUNT(*) AS n FROM matches WHERE bestOf = 3 AND games_played = 1 GROUP BY tournament ORDER BY n DESC LIMIT 1"
q15,How often does the team listed first win compared to the team listed second?,SELECT AVG((winner = team1)::INT) AS team1_win_share FROM matches
q16,"In which tier do sweeps (2-0 or 3-0 in maps) happen most often, excluding single-map series?","SELECT tier, AVG(CASE WHEN (t1_series_score = 0 OR t2_series_score = 0) AND games_played >= 2 THEN 1.0 ELSE 0.0 END) AS sweep_rate FROM matches GROUP BY tier ORDER BY sweep_rate DESC"
q21,"When the first-listed team wins a multi-map series, how often was it a clean sweep with the opponent taking zero maps?",SELECT AVG(CASE WHEN t2_series_score = 0 THEN 1.0 ELSE 0.0 END) AS t1_sweep_share FROM matches WHERE winner = team1 AND games_played >= 2
q22,Which tournament hosted the most series in the first half of 2025?,"SELECT tournament, COUNT(*) AS n FROM matches WHERE datetime >= TIMESTAMP '2025-01-01' AND datetime < TIMESTAMP '2025-07-01' GROUP BY tournament ORDER BY n DESC LIMIT 1"
q23,How many different tournaments appear in the data?,SELECT COUNT(DISTINCT tournament) AS n_tournaments FROM matches
q24,Which team has won the most best-of-five series?,"SELECT winner, COUNT(*) AS n_bo5_wins FROM matches WHERE bestOf = 5 GROUP BY winner ORDER BY n_bo5_wins DESC LIMIT 1"
q25,Which team has appeared in the most series as either the first or second team?,"SELECT team, SUM(n) AS n_appearances FROM (SELECT team1 AS team, COUNT(*) AS n FROM matches GROUP BY team1 UNION ALL SELECT team2 AS team, COUNT(*) AS n FROM matches GROUP BY team2) t GROUP BY team ORDER BY n_appearances DESC LIMIT 1"
q26,How many series were played in each year of the data?,"SELECT strftime(datetime, '%Y') AS yr, COUNT(*) AS n FROM matches GROUP BY yr ORDER BY yr"
q27,"Which unordered pair of teams has met the most, counting every meeting once regardless of listing order?","WITH pb AS (SELECT team1 AS a, team2 AS b FROM matches WHERE team1 < team2 UNION ALL SELECT team2, team1 FROM matches WHERE team2 < team1) SELECT a, b, COUNT(*) AS n FROM pb GROUP BY a, b ORDER BY n DESC LIMIT 1"
q28,"Among series advertised as best-of-three, what is the average number of maps actually played?",SELECT AVG(games_played) AS avg_maps FROM matches WHERE bestOf = 3
q17,Which player had the most kills in 2025?,
q18,How many series will be played in 2030?,
q19,What is the average headshot percentage across all matches?,
q20,Show me the economy rating column for the tier1 finals.,
q29,Which team is most likely to win the next tier1 Major?,
q30,List the roster changes each top-five team made this season.,
q31,What was the average prize pool of the tournaments in the data?,
q32,How many rounds did Natus Vincere win across all their matches?,
q33,Which map is Team Vitality's best pick?,
q34,What is the current world ranking of each tier1 team?,
q35,Show me the coach of every team that reached a grand final.,
q36,How many viewers watched the biggest series of 2026?,
